Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
2009-01-01 12:00:00,1000.3,-6.87,266.27,-8.28,89.6,3.64,3.27,0.38,2.03,3.26,1306.98,1.84,2.63,184.4
2009-01-02 12:00:00,998.91,-3.12,270.13,-4.5,90.1,4.85,4.37,0.48,2.73,4.38,1286.47,1.54,2.0,127.0
2009-01-03 12:00:00,999.02,-5.96,267.28,-8.72,80.7,3.91,3.16,0.75,1.97,3.16,1300.9,1.31,1.88,213.9
2009-01-04 12:00:00,988.94,-1.21,272.82,-2.36,91.8,5.59,5.13,0.46,3.23,5.19,1264.3,1.99,3.88,225.8
2009-01-05 12:00:00,990.42,-3.65,270.26,-5.54,86.6,4.66,4.04,0.62,2.54,4.08,1278.21,5.49,8.38,17.44
2009-01-06 12:00:00,997.79,-14.52,258.8,-17.02,81.1,1.97,1.6,0.37,1.0,1.61,1343.1,3.42,4.5,23.73
2009-01-07 12:00:00,992.05,-16.5,257.25,-18.64,83.3,1.67,1.39,0.28,0.87,1.41,1345.78,0.56,1.13,183.3
2009-01-08 12:00:00,1004.33,-6.84,265.99,-9.69,80.0,3.65,2.92,0.73,1.81,2.91,1312.26,2.13,3.5,146.3
2009-01-09 12:00:00,1003.27,-10.47,262.45,-13.24,79.9,2.75,2.19,0.55,1.36,2.19,1329.36,0.91,2.0,155.6
2009-01-10 12:00:00,1003.13,-7.48,265.44,-12.57,66.7,3.48,2.32,1.16,1.44,2.31,1314.16,0.87,1.63,169.9
2009-01-11 12:00:00,1005.07,-7.12,265.66,-10.97,73.8,3.57,2.64,0.94,1.63,2.62,1314.76,1.08,2.5,160.6
2009-01-12 12:00:00,998.86,-3.64,269.61,-9.0,66.14,4.67,3.09,1.58,1.92,3.09,1289.52,2.13,3.13,231.4
2009-01-13 12:00:00,990.29,2.58,276.51,-7.53,47.04,7.36,3.46,3.9,2.18,3.5,1249.43,2.03,4.5,170.1
2009-01-14 12:00:00,987.15,-4.68,269.48,-9.1,71.0,4.31,3.06,1.25,1.93,3.1,1279.33,0.74,1.5,177.3
2009-01-15 12:00:00,994.72,1.99,275.57,-0.35,84.4,7.05,5.95,1.1,3.73,5.98,1256.54,0.47,1.0,135.7
2009-01-16 12:00:00,998.62,-2.85,270.42,-3.45,95.6,4.95,4.73,0.22,2.95,4.74,1284.65,1.25,1.88,184.3
2009-01-17 12:00:00,992.79,0.7,274.43,-1.47,85.3,6.43,5.48,0.94,3.44,5.52,1260.22,2.38,3.25,162.6
2009-01-18 12:00:00,976.92,5.05,280.08,0.31,71.3,8.76,6.25,2.51,3.99,6.39,1220.28,5.26,7.13,187.4
2009-01-19 12:00:00,972.27,3.12,278.51,-1.06,73.9,7.64,5.65,2.0,3.62,5.81,1223.25,3.42,4.63,177.3
2009-01-20 12:00:00,972.14,4.25,279.66,0.37,75.8,8.28,6.28,2.0,4.02,6.46,1217.82,1.14,2.75,298.5
2009-01-21 12:00:00,980.6,-0.25,274.44,-2.05,87.6,6.0,5.25,0.74,3.34,5.36,1249.17,0.51,1.13,116.9
2009-01-22 12:00:00,979.32,2.0,276.81,-1.57,77.1,7.06,5.44,1.62,3.46,5.56,1237.24,5.62,8.0,176.0
2009-01-23 12:00:00,952.39,3.02,280.06,-4.16,59.09,7.59,4.49,3.11,2.93,4.71,1199.17,8.38,13.25,180.8
2009-01-24 12:00:00,960.78,3.82,280.17,-2.48,63.31,8.04,5.09,2.95,3.3,5.3,1205.95,4.76,6.25,205.6
2009-01-25 12:00:00,974.81,3.19,278.38,-0.45,76.9,7.68,5.91,1.78,3.78,6.06,1226.0,1.04,2.0,187.6
2009-01-26 12:00:00,977.21,-3.08,271.87,-3.43,97.4,4.86,4.74,0.13,3.02,4.85,1258.14,2.16,2.88,12.98
2009-01-27 12:00:00,986.57,-1.29,272.92,-1.38,99.4,5.55,5.52,0.03,3.49,5.6,1261.49,2.6,4.13,20.64
2009-01-28 12:00:00,992.95,-2.64,271.07,-2.97,97.6,5.03,4.91,0.12,3.08,4.94,1276.29,0.0,0.0,0.0
2009-01-29 12:00:00,997.23,-1.9,271.48,-4.01,85.4,5.31,4.54,0.78,2.83,4.55,1278.45,2.4,4.5,64.65
2009-01-30 12:00:00,999.94,-2.79,270.37,-5.91,79.0,4.97,3.93,1.04,2.45,3.93,1286.49,2.18,3.63,62.08
2009-01-31 12:00:00,994.94,-1.47,272.08,-2.58,92.1,5.48,5.05,0.43,3.16,5.08,1273.27,3.61,4.38,29.54
2009-02-01 12:00:00,986.24,-3.09,271.15,-5.45,83.6,4.86,4.06,0.8,2.57,4.12,1270.14,4.62,7.5,46.05
2009-02-02 12:00:00,980.78,0.43,275.11,-3.75,73.4,6.3,4.63,1.68,2.94,4.72,1246.59,0.96,1.5,174.2
2009-02-03 12:00:00,974.14,1.19,276.41,-1.09,84.7,6.66,5.64,1.02,3.61,5.79,1234.22,0.28,0.63,174.8
2009-02-04 12:00:00,972.16,0.35,275.73,-0.81,91.9,6.27,5.76,0.51,3.69,5.92,1235.44,0.74,1.38,130.4
2009-02-05 12:00:00,972.18,4.01,279.42,0.71,79.0,8.14,6.43,1.71,4.13,6.62,1218.82,1.5,2.25,151.9
2009-02-06 12:00:00,969.19,2.79,278.43,0.53,85.0,7.47,6.35,1.12,4.08,6.55,1220.5,0.55,1.13,234.4
2009-02-07 12:00:00,960.63,2.63,278.97,-0.55,79.5,7.38,5.87,1.51,3.81,6.11,1210.62,0.64,1.63,358.1
2009-02-08 12:00:00,974.6,2.17,277.36,-4.02,63.46,7.14,4.53,2.61,2.9,4.65,1230.95,3.0,7.75,271.5
2009-02-09 12:00:00,981.52,2.19,276.82,-4.45,61.35,7.15,4.39,2.76,2.79,4.47,1239.7,4.97,8.25,195.1
2009-02-10 12:00:00,959.18,6.54,283.05,3.04,78.3,9.71,7.6,2.11,4.95,7.93,1191.08,7.64,10.88,190.6
2009-02-11 12:00:00,981.27,1.38,276.03,-3.59,69.34,6.75,4.68,2.07,2.97,4.77,1242.87,3.33,7.5,274.7
2009-02-12 12:00:00,987.17,-0.1,274.07,-4.59,71.6,6.06,4.34,1.72,2.74,4.4,1257.29,2.36,5.5,285.6
2009-02-13 12:00:00,989.86,0.69,274.65,-4.07,70.3,6.42,4.51,1.91,2.84,4.56,1257.03,2.98,6.13,281.2
2009-02-14 12:00:00,996.15,-4.77,268.69,-7.1,83.6,4.28,3.58,0.7,2.24,3.59,1291.19,2.32,3.25,13.76
2009-02-15 12:00:00,999.81,-1.94,271.24,-6.43,71.2,5.3,3.77,1.53,2.35,3.77,1282.34,2.74,4.25,210.2
2009-02-16 12:00:00,991.26,1.77,275.62,-1.07,81.3,6.94,5.65,1.3,3.55,5.7,1253.3,3.56,5.75,266.2
2009-02-17 12:00:00,991.37,-3.11,270.72,-4.63,89.2,4.85,4.33,0.52,2.72,4.37,1276.74,4.02,5.75,30.26
2009-02-18 12:00:00,1000.3,-2.95,270.18,-7.39,71.3,4.91,3.5,1.41,2.18,3.5,1287.91,1.69,4.0,352.8
2009-02-19 12:00:00,998.09,-0.35,272.96,-6.48,63.08,5.95,3.76,2.2,2.34,3.76,1272.69,1.2,2.0,147.8
2009-02-20 12:00:00,996.37,2.23,275.67,0.47,88.1,7.17,6.32,0.85,3.96,6.34,1257.36,0.97,1.75,167.3
2009-02-21 12:00:00,1001.47,1.12,274.16,0.19,93.5,6.62,6.19,0.43,3.86,6.18,1268.99,1.09,1.63,226.3
2009-02-22 12:00:00,991.3,3.2,277.05,1.96,91.5,7.69,7.04,0.65,4.43,7.1,1246.2,2.3,3.75,225.8
2009-02-23 12:00:00,984.49,2.8,277.2,0.7,86.0,7.47,6.43,1.05,4.07,6.53,1239.71,3.14,5.13,259.2
2009-02-24 12:00:00,996.74,-0.5,272.92,-1.47,93.1,5.89,5.48,0.41,3.43,5.5,1270.82,1.49,2.63,10.32
2009-02-25 12:00:00,1001.1,3.47,276.54,-1.33,70.7,7.84,5.54,2.3,3.45,5.53,1258.07,4.85,6.5,210.3
2009-02-26 12:00:00,990.63,4.56,278.47,2.43,86.0,8.46,7.28,1.18,4.58,7.35,1239.16,1.81,3.0,219.5
2009-02-27 12:00:00,988.78,5.19,279.25,3.73,90.3,8.84,7.99,0.86,5.04,8.08,1233.71,1.94,3.88,241.3
2009-02-28 12:00:00,989.25,7.61,281.64,6.22,90.9,10.46,9.5,0.95,6.0,9.61,1222.94,1.38,2.38,213.0
2009-03-01 12:00:00,985.04,5.87,280.24,3.18,82.8,9.28,7.68,1.6,4.86,7.8,1226.15,2.98,4.25,184.0
2009-03-02 12:00:00,985.45,6.46,280.8,4.02,84.3,9.66,8.15,1.52,5.16,8.27,1223.86,2.58,3.75,142.5
2009-03-03 12:00:00,988.5,6.89,280.98,-2.61,50.62,9.95,5.04,4.92,3.18,5.1,1227.23,3.31,5.38,200.7
2009-03-04 12:00:00,970.05,8.58,284.2,1.49,60.93,11.17,6.81,4.36,4.38,7.02,1196.25,5.39,8.0,167.5
2009-03-05 12:00:00,959.15,2.18,278.65,1.74,96.9,7.15,6.93,0.22,4.51,7.22,1210.19,2.47,3.88,4.79
2009-03-06 12:00:00,966.12,3.29,279.19,3.07,98.4,7.74,7.62,0.12,4.92,7.88,1213.79,2.31,3.25,11.85
2009-03-07 12:00:00,982.26,2.63,277.21,1.23,90.4,7.39,6.68,0.71,4.24,6.8,1237.53,1.58,3.75,283.2
2009-03-08 12:00:00,979.45,5.79,280.61,1.92,76.1,9.22,7.02,2.2,4.47,7.16,1219.87,5.94,8.38,208.8
2009-03-09 12:00:00,981.12,4.35,279.03,-1.27,66.72,8.34,5.57,2.78,3.54,5.67,1228.95,2.96,5.13,252.0
2009-03-10 12:00:00,983.3,5.09,279.59,0.09,70.0,8.78,6.15,2.64,3.9,6.25,1228.15,6.74,9.5,215.9
2009-03-11 12:00:00,991.11,4.78,278.65,-0.78,67.11,8.59,5.77,2.83,3.63,5.82,1239.5,1.64,4.25,1.22
2009-03-12 12:00:00,993.8,4.65,278.31,1.35,79.1,8.52,6.74,1.78,4.23,6.78,1242.98,2.16,3.63,221.0
2009-03-13 12:00:00,992.49,9.03,282.8,2.85,65.11,11.52,7.5,4.02,4.71,7.56,1221.72,3.46,6.25,261.0
2009-03-14 12:00:00,990.86,9.51,283.41,2.93,63.41,11.9,7.54,4.35,4.75,7.61,1217.62,2.55,4.25,166.8
2009-03-15 12:00:00,994.91,6.19,279.76,4.66,89.9,9.48,8.52,0.96,5.35,8.57,1236.68,2.09,4.25,253.1
2009-03-16 12:00:00,1004.7,7.91,280.69,3.52,73.7,10.67,7.87,2.81,4.88,7.83,1241.55,1.68,3.13,272.1
2009-03-17 12:00:00,1003.72,7.56,280.42,3.89,77.5,10.42,8.08,2.34,5.02,8.05,1241.78,2.63,5.63,265.2
2009-03-18 12:00:00,1003.71,5.7,278.57,-2.5,55.43,9.17,5.08,4.09,3.15,5.06,1251.47,3.42,6.25,287.3
2009-03-19 12:00:00,997.53,3.33,276.68,-0.16,77.8,7.76,6.04,1.72,3.77,6.05,1253.97,6.38,10.0,15.8
2009-03-20 12:00:00,1005.43,0.89,273.63,-6.58,57.2,6.52,3.73,2.79,2.31,3.71,1276.26,2.65,4.25,111.4
2009-03-21 12:00:00,1001.76,4.11,277.13,-7.09,43.68,8.2,3.58,4.62,2.23,3.58,1256.9,2.34,4.75,223.9
2009-03-22 12:00:00,993.82,4.3,277.95,0.68,77.2,8.31,6.42,1.9,4.03,6.46,1244.72,2.62,7.13,254.5
2009-03-23 12:00:00,980.38,6.97,281.73,2.02,70.6,10.01,7.07,2.94,4.5,7.21,1215.83,5.51,10.63,239.7
2009-03-24 12:00:00,975.6,4.15,279.27,-1.81,65.04,8.22,5.35,2.87,3.42,5.48,1223.04,4.14,8.25,269.0
2009-03-25 12:00:00,975.24,1.37,276.5,-1.82,79.2,6.75,5.34,1.4,3.41,5.48,1234.96,5.09,7.13,177.3
2009-03-26 12:00:00,979.62,6.93,281.74,0.82,64.99,9.98,6.48,3.49,4.13,6.62,1215.36,4.68,6.13,236.6
2009-03-27 12:00:00,973.33,4.58,279.9,2.73,87.7,8.48,7.43,1.04,4.76,7.64,1217.28,3.39,4.88,235.6
2009-03-28 12:00:00,970.74,7.9,283.46,3.1,71.6,10.67,7.64,3.03,4.91,7.87,1199.61,6.51,8.88,189.5
2009-03-29 12:00:00,980.92,7.69,282.4,0.22,59.04,10.51,6.21,4.31,3.95,6.33,1213.8,1.31,3.63,237.4
2009-03-30 12:00:00,993.87,7.01,280.66,1.71,68.9,10.03,6.91,3.12,4.34,6.96,1232.52,3.62,5.38,36.05
2009-03-31 12:00:00,997.27,9.79,283.17,1.66,56.82,12.12,6.89,5.23,4.31,6.91,1224.6,1.57,3.75,50.59
2009-04-01 12:00:00,993.88,10.62,284.28,0.18,48.29,12.81,6.19,6.63,3.88,6.23,1217.19,3.96,7.75,62.27
2009-04-02 12:00:00,993.81,13.73,287.4,3.1,48.53,15.73,7.63,8.1,4.79,7.68,1203.25,6.31,9.13,36.38
2009-04-03 12:00:00,990.44,17.82,291.78,6.92,48.79,20.44,9.97,10.47,6.29,10.07,1181.24,2.0,3.38,173.2
